,Actual,Prediction,Difference
329,9.44,9.85,-0.4099612808227544
330,9.36,9.87,-0.5111996078491217
331,9.4,9.89,-0.49149475097656214
332,9.4,9.91,-0.5099302291870114
333,9.44,9.93,-0.4910884475708013
334,9.64,9.95,-0.3141292190551752
335,9.56,9.98,-0.41662830352783153
336,9.6,10.0,-0.40172615051269567
337,9.6,10.04,-0.4384435653686527
338,9.64,10.08,-0.443159446716308
339,9.64,10.13,-0.4942401504516596
340,9.52,10.18,-0.6649079132080082
341,9.56,10.22,-0.6631540679931636
342,9.6,10.24,-0.6448883056640629
343,9.64,10.24,-0.5996764755249018
344,9.52,10.2,-0.6800761032104496
345,9.4,10.12,-0.7241054534912106
346,9.36,10.01,-0.6547390365600592
347,9.32,9.87,-0.5530258941650388
348,9.32,9.71,-0.38726299285888643
349,9.24,9.52,-0.2826335525512693
350,9.32,9.33,-0.014649085998534872
351,9.32,9.15,0.16661483764648466
352,9.48,9.0,0.48447750091552777
353,9.52,8.86,0.6563058090209957
354,9.68,8.75,0.9307390975952146
355,9.72,8.65,1.0727193069458014
356,9.76,8.56,1.2049319839477537
357,9.68,8.47,1.2140156555175778
358,9.76,8.38,1.3751123046874998
359,9.64,8.31,1.3318811798095709
360,9.64,8.24,1.398834838867188
361,9.72,8.17,1.5453631591796881
362,9.68,8.11,1.566634826660156
363,9.8,8.05,1.7453849792480476
364,9.68,8.0,1.680482082366943
365,9.8,7.95,1.8498671531677253
366,9.8,7.9,1.9023931503295906
367,9.84,7.84,1.9967945480346678
368,9.92,7.79,2.133916301727295
369,10.0,7.74,2.2640271186828613
370,10.08,7.7,2.382320957183838
371,10.12,7.67,2.4526544761657707
372,10.2,7.64,2.5555908203124993
373,10.28,7.62,2.6613524246215814
374,10.4,7.59,2.809477233886719
375,10.32,7.56,2.7560361099243167
376,10.28,7.53,2.74750259399414
377,10.2,7.51,2.6903640747070305
378,10.12,7.51,2.6090704154968254
379,10.0,7.55,2.4533166885375977
380,9.92,7.62,2.2996868324279784
381,9.84,7.74,2.099932994842529
382,9.76,7.89,1.8663585281372068
383,9.64,8.07,1.5716701889038092
384,9.56,8.25,1.312776145935059
385,9.56,8.41,1.14958911895752
386,9.44,8.55,0.8863357925415034
387,9.44,8.68,0.7607035064697261
388,9.28,8.78,0.5046017456054681
389,9.24,8.85,0.3933336639404299
390,9.12,8.9,0.2227326583862297
391,9.04,8.92,0.11948303222656165
392,8.92,8.93,-0.005956726074218821
393,8.84,8.93,-0.08640876770019545
394,8.72,8.92,-0.19639804840087827
395,8.68,8.91,-0.22853500366210966
396,8.48,8.92,-0.43718673706054645
397,8.36,8.94,-0.5760189437866217
398,8.24,8.97,-0.7295854187011717
399,8.12,9.01,-0.88708293914795
400,8.04,9.03,-0.9904603576660165
401,7.92,9.04,-1.1213799285888673
402,7.84,9.04,-1.2023707962036134
403,7.8,9.03,-1.225585174560547
404,7.84,9.0,-1.1594554519653322
405,7.84,8.97,-1.13031307220459
406,7.8,8.93,-1.1318084716796877
407,7.84,8.89,-1.046960029602051
408,7.76,8.84,-1.0813562774658205
409,7.8,8.79,-0.9894859313964846
410,7.76,8.72,-0.9647180938720705
411,7.68,8.64,-0.9631083679199222
412,7.68,8.54,-0.8589041900634768
413,7.76,8.43,-0.6651546859741213
414,7.88,8.32,-0.4434357833862306
415,7.96,8.25,-0.29168228149414066
416,8.12,8.21,-0.08949459075927813
417,8.2,8.19,0.005452346801757102
418,8.24,8.21,0.0318071746826174
419,8.32,8.25,0.06933624267578153
420,8.28,8.3,-0.023714752197266264
421,8.44,8.36,0.07629627227783153
422,8.48,8.43,0.04832218170166058
423,8.48,8.5,-0.02369358062744098
424,8.56,8.57,-0.014772834777831534
425,8.6,8.64,-0.04072799682617223
426,8.64,8.7,-0.058798179626464275
427,8.72,8.74,-0.022303848266600923
428,8.84,8.77,0.07396301269531236
429,8.76,8.77,-0.013161888122558807
430,8.88,8.77,0.11046016693115313
431,9.04,8.76,0.28441528320312415
432,9.04,8.73,0.3093223953247062
433,9.24,8.7,0.5398123168945315
434,9.24,8.67,0.5697309875488283
435,9.2,8.64,0.564891052246093
436,9.36,8.59,0.767286643981933
437,9.32,8.55,0.7712643814086917
438,9.2,8.51,0.6900674819946282
439,9.2,8.47,0.7292377471923821
440,9.16,8.43,0.7256995773315431
441,8.96,8.41,0.5546311950683602
442,8.96,8.39,0.5723390197753915
443,8.92,8.37,0.5477723312377929
444,8.84,8.36,0.4753492736816405
445,8.8,8.37,0.4271152496337898
446,8.68,8.4,0.2829767990112302
447,8.52,8.43,0.0864100646972652
448,8.6,8.48,0.11665973663330043
449,8.6,8.55,0.05301437377929652
450,8.64,8.62,0.016147270202637287
451,8.68,8.7,-0.021036453247070597
452,8.64,8.78,-0.1359046554565424
453,8.64,8.85,-0.20943294525146428
454,8.76,8.92,-0.16316627502441428
455,8.6,8.99,-0.3872369766235355
456,8.56,9.04,-0.4768385314941401
457,8.64,9.08,-0.4360450363159174
458,8.56,9.11,-0.5509447479248042
459,8.6,9.14,-0.5412715911865238
460,8.68,9.17,-0.4850381088256839
461,8.64,9.19,-0.5459493255615229
462,8.6,9.21,-0.6084474563598636
463,8.64,9.24,-0.5957301712036127
464,8.6,9.26,-0.6584867477416996
465,8.6,9.27,-0.6718667984008793
466,8.64,9.28,-0.6395782089233393
467,8.6,9.29,-0.687209510803223
468,8.6,9.29,-0.6885894775390629
469,8.68,9.28,-0.6015303802490237
470,8.68,9.27,-0.5915473175048831
471,8.72,9.27,-0.5451739120483392
472,8.84,9.28,-0.438021812438965
473,8.84,9.3,-0.4610787963867189
474,8.72,9.33,-0.6051495361328119
475,8.68,9.34,-0.6632970046997073
476,8.72,9.35,-0.6315586853027337
477,8.72,9.34,-0.6232588577270501
478,8.6,9.32,-0.7193054199218754
479,8.6,9.29,-0.6890996932983402
480,8.72,9.26,-0.5371563720703119
481,8.68,9.21,-0.5295460891723636
482,8.64,9.14,-0.49734722137451115
483,8.68,9.04,-0.3628466796875003
484,8.72,8.94,-0.21830680847167905
485,8.76,8.83,-0.07145999908447287
486,8.72,8.73,-0.0071842956542962355
487,8.8,8.63,0.17156772613525462
488,8.88,8.54,0.34313285827636797
489,8.92,8.45,0.4667147827148437
